name	userID	userDate	screenName	author	messageID	messageDate	messageText
Joha🐐 {-11}	444852982	1324661241.0	ahretchegoyen	Joha🐐 {-11}	935541755218481152	1511881910.0	"RT @_babylouis_: NUEVOS MUTUALS 
RT SI TE GUSTA 
SHAWN MENDES 
ED SHEERAN 
SELENA GOMEZ 
JUSTIN BIEBER 
ONE DIRECTION 
STRANGER THINGS 
CAM…"
B R U N A DID YOU SEE MY BAG?	479962337	1328050200.0	drogataegi	B R U N A DID YOU SEE MY BAG?	935542011318464512	1511881971.0	RT @jdboxta: Justin Bieber em: de férias com as ex https://t.co/uwi6FQzLl9
sott deserves better	499812904	1329916561.0	stylestins	sott deserves better	935541735417147392	1511881905.0	"RT @PopCrave: Congratulations to Justin Bieber who's nominated for 3 #GRAMMYs including ""Song of the Year"" &amp; ""Record of the Year!"" https://…"
Izzy♡	543823635	1333393949.0	_baldieber	Izzy♡	935541920775987205	1511881950.0	"RT @JBiieberProjeto: JUSTIN BIEBER ESTÁ CONCORRENDO EM TRÊS CATEGORIAS NO #GRAMMYs COM A MUSICA ""DESPACITO REMIX"", ÍCONE FAZ ASSIM!👑 https:…"
Stephanie ღ	546816599	1333712506.0	stephyystephhhh	Stephanie ღ	935541962056364033	1511881959.0	"RT @JUSTINBIEBEREXZ: -RECORD OF THE YEAR 
Despacito Remix feat Justin Bieber 

-BEST POP DUO PERFORMANCE 
Despacito Remix feat Justin Biebe…"
nurvadi	560023038	1335045238.0	ollgemendo	nurvadi	935541962794512384	1511881960.0	"RT @purpxsejay: eu tenho um trabalho de inglês para apresentar amanhã e adivinhem o assunto: justin legend bieber 
ESSE MOMENTO É MEU
 vão…"
Maddi	575945652	1336610125.0	maddiwoodburn	Maddi	935541699392110592	1511881897.0	RT @empoole16: LOL do y’all ever wonder what if Justin Bieber decided to be a normal south ontario boy??? Would he be sending it with the b…
Karla. 🦕	598013946	1338682714.0	austinsboner	Karla. 🦕	935541774143107078	1511881915.0	Not gonna lie; Justin Bieber deserves a Grammy. I just wish it wasn’t for that fucking despacito song.
🌻🌻🌻	608421771	1339688878.0	xHoseook	🌻🌻🌻	935541848118120450	1511881932.0	"RT @PopCrave: #GRAMMYS Best Pop Duo/Group Performance:

• Something Just Like This by The Chainsmokers &amp; Coldplay
• Despacito by Luis Fonsi…"
mack	618190781	1340631472.0	ollguri	mack	935542002296545280	1511881969.0	RT @avonteathr: as indicações e o grammy de despacito estão nas costas do justin SIM porque a música que foi indicada foi o remix e não a m…
Gryffindor	618794674	1340684263.0	Gryffoh	Gryffindor	935541867453845504	1511881937.0	"RT @PopCrave: #GRAMMYS Record Of The Year nominees:

•Redbone by Childish Bambino
•Despacito by Luis Fonsi &amp; Daddy Yankee feat. Justin Bieb…"
Gryffindor	618794674	1340684263.0	Gryffoh	Gryffindor	935542006062952448	1511881970.0	"RT @PopCrave: #GRAMMYs Song Of The Year nominees.

• Despacito by Luis Fonsi &amp; Daddy Yankee feat. Justin Bieber
• 4:44 by JAY-Z
• Issues by…"
.E	711119096	1342976521.0	imagxnedc	.E	935541881424900097	1511881940.0	RT @ARTPOPGR: Justin Bieber is nominated for a GRAMMY for Song of the Year, after he sang “Blah blah blah doritos, blah blah blah burrito!”…
cowboy	754343893	1344821724.0	KatyKDiamond	cowboy	935541959510372352	1511881959.0	"RT @LVLGAGA: Justin Bieber doesn't even know the words to his own song.
On the otherhand Lady Gaga put all her soul and pain into each lyri…"
karollayne LOVES ZAYN	804577614	1346843733.0	MalikisesDoZayn	karollayne LOVES ZAYN	935541940875153410	1511881954.0	RT @biebersmaniabrs: Mais fotos de Justin Bieber em Whistler, Colúmbia Britânica, no Canadá - 26 de Novembro. https://t.co/axjDF0k7om
karollayne LOVES ZAYN	804577614	1346843733.0	MalikisesDoZayn	karollayne LOVES ZAYN	935541991697453057	1511881967.0	RT @biebersmaniabrs: Atividades recentes de Justin Bieber no Instagram. https://t.co/kg1GJFqA2Z
sel	877496592	1350116270.0	believesrise	sel	935541812680445952	1511881924.0	"RT @PopCrave: Congratulations to Justin Bieber who's nominated for 3 #GRAMMYs including ""Song of the Year"" &amp; ""Record of the Year!"" https://…"
Jackelin🌸	929852300	1352208814.0	jackelingarciaa	Jackelin🌸	935542001470181376	1511881969.0	"RT @PopCrave: Congratulations to Justin Bieber who's nominated for 3 #GRAMMYs including ""Song of the Year"" &amp; ""Record of the Year!"" https://…"
sarahy	1019832865	1355835392.0	sarahyy_bieber	sarahy	935541997288374272	1511881968.0	RT @6LACK: 6LACK pronounced 2 fucking grammy nominations https://t.co/55vdFd2uqy
🍀ɛٳٳą ɧơřąŋ🍀	1030233325	1356251396.0	23EllaHoran	🍀ɛٳٳą ɧơřąŋ🍀	935542006121627648	1511881970.0	RT @FebreTeen: Justin Bieber feat. Britney Spears? Saiba tudo sobre esse rumor!: https://t.co/GXRihCykDa RT https://t.co/d5N5JedbBD
AtheneFashion.com	1073611058	1357730215.0	AtheneFashion	AtheneFashion.com	935541884851769349	1511881941.0	Teen Planning Justin Bieber Terror Attack Found Guilty https://t.co/rEQP0oSrAd
liana	1086354841	1358085699.0	avoncharming	liana	935542051462107136	1511881981.0	"RT @bwerde: I think Bieber deserves his first big Grammy. Yes, I know he won ""dance recording"" previously. Either that or Fonsi, who clearl…"
b	1228548667	1362088229.0	ilysbaleigh	b	935541883425775617	1511881941.0	well who the fuck chooses the grammy nominations? why is harry up for ZERO? also why am i mad? i haven’t watched th… https://t.co/3rm8c8ejMH
Jel	1255025862	1362849584.0	AndreiaPipa99	Jel	935541970935648256	1511881962.0	"RT @biebersmaniabrs: Justin Bieber foi indicado no GRAMMY 2018 com ""Despacito"" juntamente com Luis Fonsi e Daddy Yankee!! Confira as catego…"
‏ㅤؘ	1271288312	1363399755.0	purpwrser	‏ㅤؘ	935541726592331778	1511881903.0	Justin Bieber em despacito: #1 na Hot 100, primeira música latina desde 1995 a pegar #1 no US, mais de 1kk vendido… https://t.co/qNOJFt8cIH
austin	1302259758	1364266700.0	southernams	austin	935541920822112256	1511881950.0	RT @DailyCaller: ISIS-Inspired Teen Convicted Of Plotting Attack On Justin Bieber Concert https://t.co/bcF8VMaYrT https://t.co/x14h7mfw6Y
luh	1425887006	1368456313.0	angwlical	luh	935541744179007488	1511881907.0	RT @avonteathr: as indicações e o grammy de despacito estão nas costas do justin SIM porque a música que foi indicada foi o remix e não a m…
thais	1447101896	1369156883.0	biebermoxies	thais	935541914316652545	1511881948.0	"RT @PopCrave: Congratulations to Justin Bieber who's nominated for 3 #GRAMMYs including ""Song of the Year"" &amp; ""Record of the Year!"" https://…"
Cusica	1467420944	1369830555.0	CusicaVzla	Cusica	935541820238508032	1511881926.0	Arrestan adolescente por planear atentado contra concierto de Justin Bieber https://t.co/stMvjS7TYo
